b,m,Memory_Bits,REC_k,True_n,HLL_Mean_Err,HLL_Std_Err,REC_Mean_Err,REC_Std_Err
6,64,320,10,9425,2.4202,0.9849,16.1584,9.0234
7,128,640,20,9425,1.8031,1.2043,12.9099,6.1759
8,256,1280,40,9425,1.2477,0.9057,7.2508,6.6198
9,512,2560,80,9425,0.5625,0.4140,3.4974,2.7878
10,1024,5120,160,9425,0.6089,0.3847,2.4081,1.7535
11,2048,10240,320,9425,0.2934,0.1605,1.1749,1.0514
12,4096,20480,640,9425,0.2354,0.2014,1.0073,0.7314
