b,m,Memory_Bits,REC_k,True_n,HLL_Mean_Err,HLL_Std_Err,REC_Mean_Err,REC_Std_Err
6,64,320,10,6245,2.0788,1.9345,11.0763,5.7922
7,128,640,20,6245,1.6225,1.4341,5.6762,3.9514
8,256,1280,40,6245,0.9732,0.6037,5.3446,3.4131
9,512,2560,80,6245,0.5888,0.3721,2.8803,2.5035
10,1024,5120,160,6245,0.4819,0.3751,1.6334,1.1469
11,2048,10240,320,6245,0.9839,0.1311,1.0389,0.7464
12,4096,20480,640,6245,0.1765,0.1337,0.6061,0.4458
