b,m,Memory_Bits,REC_k,True_n,HLL_Mean_Err,HLL_Std_Err,REC_Mean_Err,REC_Std_Err
6,64,320,10,9425,2.1235,1.7100,9.8684,7.4114
7,128,640,20,9425,1.5969,1.3275,8.7229,5.7921
8,256,1280,40,9425,0.5836,0.4033,6.2724,5.3541
9,512,2560,80,9425,0.5879,0.4132,3.6478,2.4722
10,1024,5120,160,9425,0.3370,0.1888,1.7993,1.8253
11,2048,10240,320,9425,0.2540,0.1470,1.3351,0.7494
12,4096,20480,640,9425,0.2736,0.2780,0.7020,0.4933
